H3_Index,Position,Category,Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,69,Shrubland,"(np.float64(37.751642062639554), np.float64(22.44213940898292))",117,Shrubland,"(np.float64(37.744813504591065), np.float64(22.441785847547123))",0.7585536573047085
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,130,Shrubland,"(np.float64(37.74279739167708), np.float64(22.451986749713303))",133,Shrubland,"(np.float64(37.74169050615568), np.float64(22.460576983116397))",0.7670371704917505
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,81,Shrubland,"(np.float64(37.74978658311222), np.float64(22.449033856980986))",91,Shrubland,"(np.float64(37.74871132289143), np.float64(22.449033856980986))",0.1193449996530021
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,141,Shrubland,"(np.float64(37.73957161101471), np.float64(22.459771648734858))",142,Shrubland,"(np.float64(37.73876516584912), np.float64(22.458429424765622))",0.14835219402059072
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,114,Shrubland,"(np.float64(37.74561994975666), np.float64(22.452926306491765))",125,Shrubland,"(np.float64(37.74396225691627), np.float64(22.448496967393293))",0.4315693390078241
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,101,Shrubland,"(np.float64(37.747535257024936), np.float64(22.461717873490247))",106,Shrubland,"(np.float64(37.74736724761544), np.float64(22.45789253517793))",0.3376531635746151
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,133,Shrubland,"(np.float64(37.74169050615568), np.float64(22.460576983116397))",138,Shrubland,"(np.float64(37.73984042606991), np.float64(22.455821675339685))",0.4667345821475693
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,111,Shrubland,"(np.float64(37.746202382376254), np.float64(22.451718304919453))",119,Shrubland,"(np.float64(37.74494791211866), np.float64(22.45950320394101))",0.7001075211357618
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,82,Shrubland,"(np.float64(37.74951776805702), np.float64(22.443396516310205))",92,Shrubland,"(np.float64(37.74871132289143), np.float64(22.44983919136253))",0.5748102560738699
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,134,Shrubland,"(np.float64(37.741990946511486), np.float64(22.455744976827155))",139,Shrubland,"(np.float64(37.73984042606991), np.float64(22.458026757574853))",0.3121233448570975
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,52,Shrubland,"(np.float64(37.75354999388498), np.float64(22.440577845974815))",69,Shrubland,"(np.float64(37.751642062639554), np.float64(22.44213940898292))",0.25255158216239054
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,85,Shrubland,"(np.float64(37.749248953001825), np.float64(22.44876541218714))",103,Shrubland,"(np.float64(37.74659745904828), np.float64(22.44235324222503))",0.6371564723801937
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,104,Shrubland,"(np.float64(37.74763606267064), np.float64(22.449033856980986))",116,Grassland,"(np.float64(37.745485542229055), np.float64(22.456147644017925))",0.6708641668830583
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,144,Shrubland,"(np.float64(37.73734777737626), np.float64(22.45696518043555))",152,Shrubland,"(np.float64(37.732546577572215), np.float64(22.455727080507568))",0.5439528328631372
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,107,Shrubland,"(np.float64(37.74672881185935), np.float64(22.446181631046365))",121,Shrubland,"(np.float64(37.74448708630975), np.float64(22.4537891647577))",0.715167592803661
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,66,Shrubland,"(np.float64(37.752135177804995), np.float64(22.452622540014517))",89,Shrubland,"(np.float64(37.74861531751457), np.float64(22.455131388726937))",0.44890306262619134
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,36,Shrubland,"(np.float64(37.7551330158767), np.float64(22.451882354515693))",97,Shrubland,"(np.float64(37.74817369278103), np.float64(22.44876541218714))",0.8198162994916187
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,97,Shrubland,"(np.float64(37.74817369278103), np.float64(22.44876541218714))",113,Shrubland,"(np.float64(37.745869563736484), np.float64(22.448573665905823))",0.2562969304365965
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,69,Shrubland,"(np.float64(37.751642062639554), np.float64(22.44213940898292))",94,Shrubland,"(np.float64(37.74844250783623), np.float64(22.4479600778056))",0.6239034962136404
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,137,Shrubland,"(np.float64(37.739780689390976), np.float64(22.462306960676745))",149,Shrubland,"(np.float64(37.735001755076354), np.float64(22.456952978399467))",0.7099719617507388
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,129,Shrubland,"(np.float64(37.743496310820596), np.float64(22.464818410859177))",145,Shrubland,"(np.float64(37.73768990562833), np.float64(22.459771648734858))",0.7830720676099926
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,121,Shrubland,"(np.float64(37.74448708630975), np.float64(22.4537891647577))",141,Shrubland,"(np.float64(37.73957161101471), np.float64(22.459771648734858))",0.75874247795076
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,59,Shrubland,"(np.float64(37.75269874621019), np.float64(22.447333706619958))",86,Shrubland,"(np.float64(37.748800927909826), np.float64(22.443843924299948))",0.5308035941135374
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,51,Shrubland,"(np.float64(37.75337078384818), np.float64(22.436148506876343))",82,Shrubland,"(np.float64(37.74951776805702), np.float64(22.443396516310205))",0.7686954913326766
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,70,Shrubland,"(np.float64(37.750423042287025), np.float64(22.456502938598017))",95,Shrubland,"(np.float64(37.74806616675895), np.float64(22.453463196079458))",0.3744312865291127
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,130,Shrubland,"(np.float64(37.74279739167708), np.float64(22.451986749713303))",146,Shrubland,"(np.float64(37.73580820024194), np.float64(22.456952978399467))",0.8907227049742418
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,102,Shrubland,"(np.float64(37.74529721072332), np.float64(22.463491296956185))",127,Shrubland,"(np.float64(37.7437190432949), np.float64(22.455016340958142))",0.7672147667787779
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,81,Shrubland,"(np.float64(37.74978658311222), np.float64(22.449033856980986))",104,Shrubland,"(np.float64(37.74763606267064), np.float64(22.449033856980986))",0.23868997747744494
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,114,Shrubland,"(np.float64(37.74561994975666), np.float64(22.452926306491765))",138,Shrubland,"(np.float64(37.73984042606991), np.float64(22.455821675339685))",0.6903755891507801
863f29987ffffff,CENTER,Corridors_2022_within_1.0km,28,Closed EV needleleaf,"(np.float64(37.7558551790943), np.float64(22.468170220233436))",98,Shrubland,"(np.float64(37.74817369278103), np.float64(22.463664098245637))",0.9405288505223619
