Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon,SITECODE,MS,Area_ha
ORI ARTEMISIO KAI LYRKEIO,N/A,Natura 2000 (Birds: SPA),N/A,N/A,N/A,2.498302503807599,EEA Natura 2000 (1),"(37.673227531080386, 22.452326604665906)",N/A,GR2510004,GR,11518.684081634407
ORI ARTEMISIO KAI LYRKEIO,N/A,Natura 2000 (Habitats+Birds overlap),N/A,N/A,N/A,2.498302503807599,EEA Natura 2000 (2),"(37.673227531080386, 22.452326604665906)",N/A,GR2510004,GR,11518.684081634407
