H3_Index,Position,Year,Avg_FFI
863f2999fffffff,N4,2005,0.007024367430601553
863f2999fffffff,N4,2006,0.007489448020163825
863f2999fffffff,N4,2007,0.006443341570538762
863f2999fffffff,N4,2008,0.006678776891134702
863f2999fffffff,N4,2009,0.005894699522149515
863f2999fffffff,N4,2010,0.0080733128135154
863f2999fffffff,N4,2011,0.008498145203359299
863f2999fffffff,N4,2012,0.00854400631262466
863f2999fffffff,N4,2013,0.007528455712799206
863f2999fffffff,N4,2014,0.0070042764885438445
863f2999fffffff,N4,2015,0.007640861832650773
863f2999fffffff,N4,2016,0.006805782902809908
863f2999fffffff,N4,2017,0.009123922430845604
863f2999fffffff,N4,2018,0.011214142458681093
863f2999fffffff,N4,2019,0.011184287154014512
863f2999fffffff,N4,2020,0.009503527771899136
863f2999fffffff,N4,2021,0.009007871853887494
863f2999fffffff,N4,2022,0.00894863548709269
