date,precipitation_mean,temperature_mean,fire_area_m2,avg_moisture,drought
2010-12-05,2.92028803518075e-05,9.213002526163871,0.0,,
2010-12-06,8.52346317969932e-07,4.397061584678961,0.0,,
2010-12-07,2.1662224195427946e-06,7.158423562412372,0.0,,
2010-12-08,1.2799182691480837e-06,13.272528864477104,0.0,,
2010-12-09,1.2608165077794677e-05,12.743849042433373,0.0,,
2010-12-10,0.00786132410204552,12.34297063903284,0.0,,
2010-12-11,1.768009303242996e-05,-5.809999999999945,0.0,,
2010-12-12,3.886764597444364e-06,2.832683669585106,0.0,,
2010-12-13,0.012202622131765524,,0.0,,
2010-12-14,0.00035482130257171525,7.037363757199854,0.0,,
2010-12-15,0.00681771791478654,,0.0,,
2010-12-16,0.006218209055431407,,0.0,,
2010-12-17,0.0007779476317492398,,0.0,,
2010-12-18,0.0022422901608727193,4.050000000000011,0.0,,
2010-12-19,0.00029504597176810416,10.80080821917811,0.0,,
2010-12-20,0.00033603202212940556,,0.0,,
2010-12-21,0.0,,0.0,,
2010-12-22,1.241061112916048e-05,6.283148477307765,0.0,,
2010-12-23,2.169667409775271e-05,,0.0,,
2010-12-24,8.613033717934245e-05,12.757761194029879,0.0,,
2010-12-25,0.0003832199356772682,8.294530128005016,0.0,,
2010-12-26,0.000788188928827987,,0.0,,
2010-12-27,0.005979447202249006,,0.0,,
2010-12-28,0.0008091375231629171,10.581724818148224,0.0,,
2010-12-29,0.0019755672324105367,,0.0,,
2010-12-30,0.00018743100489163308,,0.0,,
2010-12-31,0.000264155864613258,,0.0,,
2011-01-01,3.239404061229255e-05,8.0755643769417,0.0,0.38451537796679663,0.0
2011-01-02,0.005549831281929197,,0.0,,
2011-01-03,0.0036205627700589753,,0.0,,
2011-01-04,0.003125707669686632,3.8364585152838684,0.0,,
2011-01-05,0.0009125154126724443,,0.0,,
2011-01-06,4.9621002239193367e-05,7.505448786667995,0.0,,
2011-01-07,1.1055534406006533e-05,6.753321661777264,0.0,,
2011-01-08,1.9230625796431218e-06,8.201604377452016,0.0,,
2011-01-09,8.52346317969932e-07,11.364836650394322,0.0,,
2011-01-10,2.2514751663038624e-06,,0.0,,
2011-01-11,4.779566609158792e-06,5.869278384640873,0.0,,
2011-01-12,0.003773310390277567,5.153180580762287,0.0,,
2011-01-13,0.001544447649574853,,0.0,,
2011-01-14,4.665467455114676e-06,6.925259507294938,0.0,,
2011-01-15,0.00014361521485542733,9.879158222133064,0.0,,
2011-01-16,0.0008890772388150997,4.630000000000052,0.0,,
2011-01-17,0.00023032332023314498,,0.0,,
2011-01-18,7.418068922762896e-07,8.855351107773215,0.0,,
2011-01-19,2.1422168288154353e-06,10.198000375516363,0.0,,
2011-01-20,6.871827984220792e-07,4.898596758817948,0.0,,
2011-01-21,0.006946183084964923,,0.0,,
2011-01-22,0.0020482753127146354,8.74127121989739,0.0,,
2011-01-23,0.0035236758264173573,6.350000000000023,0.0,,
2011-01-24,0.010830445723100142,,0.0,,
2011-01-25,0.0009945503689230216,,0.0,,
2011-01-26,0.00021264864629570596,0.44681848060854323,0.0,,
2011-01-27,0.007614045386896412,-10.25,0.0,,
2011-01-28,0.035446643422848076,,0.0,,
2011-01-29,0.010674838958116403,,0.0,,
2011-01-30,0.006343904137509071,,0.0,,
2011-01-31,0.0015873220832841896,,0.0,,
2011-02-01,0.000920231369408694,,0.0,0.3830376661875669,0.0
2011-02-02,0.016592856469323826,2.906724470134914,0.0,,
2011-02-03,0.0395232888213286,,0.0,,
2011-02-04,0.008413191352701688,,0.0,,
2011-02-05,1.047958022258978e-06,3.1661502879260177,0.0,,
2011-02-06,0.0,6.504444235824285,0.0,,
2011-02-07,1.7225742112714215e-06,8.89060483463136,0.0,,
2011-02-08,1.7106526684074197e-06,10.750980097634272,0.0,,
2011-02-09,1.7106532936850272e-06,9.916620622803855,0.0,,
2011-02-10,4.667184829155634e-06,9.705809237701871,0.0,,
2011-02-11,5.359405639121012e-06,8.961417574164503,0.0,,
2011-02-12,2.664476431329438e-06,11.923004824259156,0.0,,
2011-02-13,1.9205468891992827e-08,11.071361246714261,0.0,,
2011-02-14,3.2782554626464844e-06,,0.0,,
2011-02-15,0.0024590291759161364,6.9500000000000455,0.0,,
2011-02-16,0.0008878179950319131,,0.0,,
2011-02-17,3.673813559792258e-05,9.323016014234904,0.0,,
2011-02-18,0.008260713246701553,,0.0,,
2011-02-19,0.005888514898040077,,0.0,,
2011-02-20,0.0015292564669483575,,0.0,,
2011-02-21,0.006086457859386097,,0.0,,
2011-02-22,0.002953081374711337,4.47169701255085,0.0,,
2011-02-23,0.004722097651422659,,0.0,,
2011-02-24,0.0163325694474307,,0.0,,
2011-02-25,0.0074292886175209615,,0.0,,
2011-02-26,0.0012525765624838475,,0.0,,
2011-02-27,0.0012269487435167484,,0.0,,
2011-02-28,1.8496675822503178e-05,,0.0,,
2011-03-01,0.0006393480251176697,,0.0,0.3784819061265272,0.0
2011-03-02,0.008053863323420335,,0.0,,
2011-03-03,0.0007979058406342366,,0.0,,
2011-03-04,0.0009239981120055579,,0.0,,
2011-03-05,0.008870264245982442,6.360275229357823,0.0,,
2011-03-06,0.011532923172815722,,0.0,,
2011-03-07,0.023063972863181702,,0.0,,
2011-03-08,0.003927174752045009,,0.0,,
2011-03-09,4.516149106786377e-05,-2.8238869592674187,0.0,,
2011-03-10,0.0,4.489727750657183,0.0,,
2011-03-11,4.351138045421976e-07,10.264733149053823,0.0,,
2011-03-12,8.70227722771233e-07,12.788660296225537,0.0,,
2011-03-13,2.2330349700248253e-06,,0.0,,
2011-03-14,1.844831488349221e-05,17.005876830642165,0.0,,
2011-03-15,1.7293677387897333e-06,10.550000000000011,0.0,,
2011-03-16,0.0,,0.0,,
2011-03-17,0.006125812771951576,,0.0,,
2011-03-18,9.640807445004445e-05,16.81707894170792,0.0,,
2011-03-19,0.003993848778882445,,0.0,,
2011-03-20,0.00627700924422408,,0.0,,
2011-03-21,0.002987178889187899,,0.0,,
2011-03-22,0.000285944478078322,,0.0,,
2011-03-23,0.00017633492296392268,,0.0,,
2011-03-24,1.2740086323116303e-05,9.512607040913442,0.0,,
2011-03-25,1.7242060721400776e-06,19.918183269176627,0.0,,
2011-03-26,2.760914234042647e-06,9.727325174825205,0.0,,
2011-03-27,0.000966500509073078,,0.0,,
2011-03-28,1.7350370120022325e-06,17.497713105520113,0.0,,
2011-03-29,0.0009068556807208174,9.348795562599088,0.0,,
2011-03-30,0.0024671828203912064,19.418894104393566,0.0,,
2011-03-31,0.020950772003689038,,0.0,,
2011-04-01,0.017933558334003796,,0.0,0.36784576580804934,0.0
2011-04-02,0.0007197422719762224,,0.0,,
2011-04-03,0.004496388861096792,17.4527250710751,0.0,,
2011-04-04,0.004359204650287748,15.935359631257398,0.0,,
2011-04-05,0.00011800091295361364,20.36870822380777,0.0,,
2011-04-06,0.001366713090333992,,0.0,,
2011-04-07,0.0002799981019372601,,0.0,,
2011-04-08,0.0,20.943672549755945,0.0,,
2011-04-09,2.4383718317205254e-08,21.251595944423602,0.0,,
2011-04-10,0.002693921572477558,23.914515583927926,0.0,,
2011-04-11,0.00010004778504356759,18.542457821287254,0.0,,
2011-04-12,8.722050934424756e-06,,0.0,,
2011-04-13,0.00028647509477960654,19.44078858430344,0.0,,
2011-04-14,0.00016582906246043194,13.205691888207255,0.0,,
2011-04-15,0.0012796792382749284,18.96294223826718,0.0,,
2011-04-16,0.017921359179540144,,0.0,,
2011-04-17,0.02633356569817186,,0.0,,
2011-04-18,0.006602571769194169,,0.0,,
2011-04-19,0.0004405016248421651,17.066311293153916,0.0,,
2011-04-20,0.0007088132879496036,14.27889929742392,0.0,,
2011-04-21,0.0,19.867689084895286,0.0,,
2011-04-22,0.0,20.884769057454022,0.0,,
2011-04-23,7.984313041023679e-06,21.781348103642525,0.0,,
2011-04-24,3.099576988448275e-06,17.847630491926424,0.0,,
2011-04-25,1.9689310675762396e-05,,0.0,,
2011-04-26,0.01677813408039438,16.61476991357162,0.0,,
2011-04-27,0.009008963437586524,,0.0,,
2011-04-28,0.0021636547012194155,,0.0,,
2011-04-29,0.008564768460561563,18.806790582404002,0.0,,
2011-04-30,0.0008313017812301123,,0.0,,
2011-05-01,0.001572347635567633,17.47447837150129,0.0,0.33755475129274765,0.0
2011-05-02,9.56954763027666e-06,22.54860127360075,0.0,,
2011-05-03,0.0030406809994962002,20.544865596999404,0.0,,
2011-05-04,0.004238768140835832,,0.0,,
2011-05-05,0.007251840353810414,,0.0,,
2011-05-06,0.0003479826947289604,17.05875135722044,0.0,,
2011-05-07,-1.8094009523007448e-08,21.849926774314707,0.0,,
2011-05-08,1.713556514459924e-06,23.623257604205815,0.0,,
2011-05-09,0.002254625025262736,20.451690821256047,0.0,,
2011-05-10,0.0021701552650122058,17.434013157894743,0.0,,
2011-05-11,0.0009156943527841577,,0.0,,
2011-05-12,0.00561588271097206,23.068643147896914,0.0,,
2011-05-13,0.00014502622864463112,20.021183970856132,0.0,,
2011-05-14,0.00018384537903350727,23.941588447653444,0.0,,
2011-05-15,0.0002576447414784608,22.928593797973623,0.0,,
2011-05-16,0.00028234584765000773,,0.0,,
2011-05-17,0.00066621208732281,19.781859688196015,0.0,,
2011-05-18,0.00647509910843589,,0.0,,
2011-05-19,0.0036166859019214244,,0.0,,
2011-05-20,0.00016396221789446744,18.440764705882376,0.0,,
2011-05-21,1.887868740947273e-05,25.417670850767117,0.0,,
2011-05-22,5.189803513613614e-05,,0.0,,
2011-05-23,0.0015110210938887162,22.955671927307527,0.0,,
2011-05-24,0.004401150074872104,,0.0,,
2011-05-25,0.00048675239077056176,,0.0,,
2011-05-26,0.010728052122844514,,0.0,,
2011-05-27,0.008759478276426142,,0.0,,
2011-05-28,0.008818694136359474,23.01490140845073,0.0,,
2011-05-29,0.012887872470638615,23.757601856627158,0.0,,
2011-05-30,0.00036288052791633163,23.875476850019822,0.0,,
2011-05-31,0.002942310950967843,23.35067367208871,0.0,,
2011-06-01,0.00021825324405323374,23.35075113254424,0.0,0.2850013811360388,0.0
2011-06-02,0.0001275512305173007,26.360335893614607,0.0,,
2011-06-03,0.0058392213149454485,22.762102161100223,0.0,,
2011-06-04,0.0010789783163454429,26.984645161290338,0.0,,
2011-06-05,0.001948520541191101,,0.0,,
2011-06-06,3.877165982079202e-05,23.338732632369535,0.0,,
2011-06-07,0.0009395046667619185,,0.0,,
2011-06-08,8.52346317969932e-07,26.646725497559178,0.0,,
2011-06-09,1.8409766084914733e-05,30.376291776192275,0.0,,
2011-06-10,3.0838630416176535e-05,27.57358805858058,0.0,,
2011-06-11,1.1427835970452673e-06,28.959913631242976,0.0,,
2011-06-12,0.008210190317847511,24.19652000000004,0.0,,
2011-06-13,0.011825176125222986,27.00184558076535,0.0,,
2011-06-14,0.011479868401078295,,0.0,,
2011-06-15,0.00613499422501656,,0.0,,
2011-06-16,0.0037940103898780426,,0.0,,
2011-06-17,0.00026198584912539115,25.67536055250866,0.0,,
2011-06-18,0.00011511411899143488,30.358191888847188,0.0,,
2011-06-19,8.583068797918258e-07,30.35660720991366,0.0,,
2011-06-20,0.0,34.84369508073604,0.0,,
2011-06-21,0.00014537098732861605,25.490840438489673,0.0,,
2011-06-22,1.717314887628163e-06,33.066229815997026,0.0,,
2011-06-23,8.580688586334873e-07,31.79953248216299,0.0,,
2011-06-24,8.463859444418631e-07,32.95168231318064,0.0,,
2011-06-25,0.00033360557115842806,32.92466015771688,0.0,,
2011-06-26,3.9705631877495755e-05,,0.0,,
2011-06-27,-9.784002941159997e-09,29.76980825265536,0.0,,
2011-06-28,0.00019819045598462088,24.9283190883191,0.0,,
2011-06-29,0.000693195922865057,30.24663877266389,0.0,,
