H3_Index,Position,StartDate,EndDate,TagKey,TagValue,AreaStart_m2,AreaEnd_m2,PercentChange
863f2998fffffff,N5,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,landuse,orchard,0.0,108601.28238381486,
863f2998fffffff,N5,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,landuse,residential,0.0,58967.060044713624,
863f2998fffffff,N5,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,heath,0.0,47543.10438210779,
863f2998fffffff,N5,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,valley,0.0,12769.980658419969,
863f2998fffffff,N5,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,water,0.0,9181.533813228481,
863f2998fffffff,N5,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,wood,0.0,18013845.98431198,
