Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon,SITECODE,MS,Area_ha
OROS OLIGYRTOS,N/A,Natura 2000 (Habitats: pSCI/SCI/SAC),N/A,N/A,N/A,3.740667382003835,EEA Natura 2000 (0),"(37.80278871141932, 22.376352369427448)",N/A,GR2530004,GR,8639.5751032367
OROS OLIGYRTOS,N/A,Natura 2000 (Habitats+Birds overlap),N/A,N/A,N/A,3.740667382003835,EEA Natura 2000 (2),"(37.80278871141932, 22.376352369427448)",N/A,GR2530004,GR,8639.5751032367
