H3_Index,Position,Category,Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
863f299afffffff,N6,Corridors_2022_within_1.0km,49,Closed DC broadleaf,"(np.float64(37.812836425961905), np.float64(22.476218685374477))",59,Shrubland,"(np.float64(37.81041824607742), np.float64(22.474338611721173))",0.3153518714010962
863f299afffffff,N6,Corridors_2022_within_1.0km,41,Shrubland,"(np.float64(37.81391117257723), np.float64(22.479173086829665))",55,Closed DC broadleaf,"(np.float64(37.81203036600041), np.float64(22.479173086829665))",0.2087562523520542
863f299afffffff,N6,Corridors_2022_within_1.0km,93,Shrubland,"(np.float64(37.79308795690527), np.float64(22.461849551024233))",102,Shrubland,"(np.float64(37.790266747040036), np.float64(22.467624062959377))",0.5972836349409687
863f299afffffff,N6,Corridors_2022_within_1.0km,11,Shrubland,"(np.float64(37.82264348882676), np.float64(22.480784578532496))",32,Shrubland,"(np.float64(37.815523292500224), np.float64(22.476218685374477))",0.88666765993932
863f299afffffff,N6,Corridors_2022_within_1.0km,3,Shrubland,"(np.float64(37.82391975043247), np.float64(22.480113123656317))",28,Shrubland,"(np.float64(37.81659803911555), np.float64(22.47514435757259))",0.922933140443181
863f299afffffff,N6,Corridors_2022_within_1.0km,63,Shrubland,"(np.float64(37.8069253195776), np.float64(22.47312999294405))",79,Shrubland,"(np.float64(37.80222330313555), np.float64(22.46950413661268))",0.6118240449515815
863f299afffffff,N6,Corridors_2022_within_1.0km,74,Shrubland,"(np.float64(37.803701079731624), np.float64(22.46816122686032))",88,Closed DC broadleaf,"(np.float64(37.79823778443704), np.float64(22.46923555466221))",0.6137230663506387
863f299afffffff,N6,Corridors_2022_within_1.0km,33,Shrubland,"(np.float64(37.815388949173304), np.float64(22.476890140250656))",56,Grassland,"(np.float64(37.811224306038916), np.float64(22.47836734097825))",0.48019863497168946
863f299afffffff,N6,Corridors_2022_within_1.0km,4,Shrubland,"(np.float64(37.823427880509726), np.float64(22.477492283655746))",29,Shrubland,"(np.float64(37.81659803911555), np.float64(22.483067525111508))",0.9031209255052405
863f299afffffff,N6,Corridors_2022_within_1.0km,36,Grassland,"(np.float64(37.81512026251947), np.float64(22.481456033408676))",61,Shrubland,"(np.float64(37.80880612615443), np.float64(22.475950103424005))",0.8521834067106061
863f299afffffff,N6,Corridors_2022_within_1.0km,15,Shrubland,"(np.float64(37.820897025576855), np.float64(22.47836734097825))",38,Shrubland,"(np.float64(37.81458288921181), np.float64(22.476352976349713))",0.7229202619733373
863f299afffffff,N6,Corridors_2022_within_1.0km,67,Shrubland,"(np.float64(37.80504451300078), np.float64(22.468966972711737))",85,Shrubland,"(np.float64(37.799939466577975), np.float64(22.466012571256545))",0.6235053253525429
863f299afffffff,N6,Corridors_2022_within_1.0km,66,Shrubland,"(np.float64(37.80544754298153), np.float64(22.46990700953839))",89,Shrubland,"(np.float64(37.79805866000115), np.float64(22.466012571256545))",0.8889416692348817
863f299afffffff,N6,Corridors_2022_within_1.0km,37,Shrubland,"(np.float64(37.814717232538726), np.float64(22.474204320745937))",62,Shrubland,"(np.float64(37.807194006231434), np.float64(22.470981337340277))",0.8819371312000571
863f299afffffff,N6,Corridors_2022_within_1.0km,97,Shrubland,"(np.float64(37.79241624027069), np.float64(22.46923555466221))",113,Shrubland,"(np.float64(37.78757988050172), np.float64(22.469772718563153))",0.5388808650847973
863f299afffffff,N6,Corridors_2022_within_1.0km,29,Shrubland,"(np.float64(37.81659803911555), np.float64(22.483067525111508))",58,Shrubland,"(np.float64(37.81068693273125), np.float64(22.47648726732495))",0.8753187063328447
863f299afffffff,N6,Corridors_2022_within_1.0km,22,Grassland,"(np.float64(37.8187475323462), np.float64(22.48239607023533))",55,Closed DC broadleaf,"(np.float64(37.81203036600041), np.float64(22.479173086829665))",0.7977433408757556
863f299afffffff,N6,Corridors_2022_within_1.0km,4,Shrubland,"(np.float64(37.823427880509726), np.float64(22.477492283655746))",6,Shrubland,"(np.float64(37.823583892115174), np.float64(22.482933234136272))",0.47934800394811655
863f299afffffff,N6,Corridors_2022_within_1.0km,18,Grassland,"(np.float64(37.82062833892302), np.float64(22.483738979987685))",26,Shrubland,"(np.float64(37.817404099077045), np.float64(22.48387327096292))",0.35806351034024814
863f299afffffff,N6,Corridors_2022_within_1.0km,37,Shrubland,"(np.float64(37.814717232538726), np.float64(22.474204320745937))",39,Shrubland,"(np.float64(37.81417985923106), np.float64(22.47272712001834))",0.14309547825949778
863f299afffffff,N6,Corridors_2022_within_1.0km,29,Shrubland,"(np.float64(37.81659803911555), np.float64(22.483067525111508))",35,Shrubland,"(np.float64(37.81525460584639), np.float64(22.47971025073061))",0.3310913231551617
863f299afffffff,N6,Corridors_2022_within_1.0km,8,Grassland,"(np.float64(37.82331520546134), np.float64(22.48427614388863))",12,Shrubland,"(np.float64(37.82240167083832), np.float64(22.481751473554194))",0.24431478433352358
863f299afffffff,N6,Corridors_2022_within_1.0km,7,Shrubland,"(np.float64(37.82331520546134), np.float64(22.483470398037216))",16,Shrubland,"(np.float64(37.82116571223069), np.float64(22.481456033408676))",0.2972775432648468
863f299afffffff,N6,Corridors_2022_within_1.0km,59,Shrubland,"(np.float64(37.81041824607742), np.float64(22.474338611721173))",63,Shrubland,"(np.float64(37.8069253195776), np.float64(22.47312999294405))",0.40203364499872923
863f299afffffff,N6,Corridors_2022_within_1.0km,51,Shrubland,"(np.float64(37.81256773930807), np.float64(22.47997883268108))",59,Shrubland,"(np.float64(37.81041824607742), np.float64(22.474338611721173))",0.5509907029108354
863f299afffffff,N6,Corridors_2022_within_1.0km,70,Grassland,"(np.float64(37.80477582634695), np.float64(22.464803952479425))",72,Shrubland,"(np.float64(37.80396976638546), np.float64(22.47124991929075))",0.5746727620979523
863f299afffffff,N6,Corridors_2022_within_1.0km,30,Shrubland,"(np.float64(37.816329352461715), np.float64(22.4793073778049))",36,Grassland,"(np.float64(37.81512026251947), np.float64(22.481456033408676))",0.2319563677649842
