H3_Index,Position,Category,Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
863f2998fffffff,N5,Corridors_2022_within_1.0km,7,Shrubland,"(np.float64(37.74455455540698), np.float64(22.465612237208717))",11,Closed EV needleleaf,"(np.float64(37.73929801524979), np.float64(22.463403927990242))",0.6150422694411181
863f2998fffffff,N5,Corridors_2022_within_1.0km,13,Shrubland,"(np.float64(37.73786220104018), np.float64(22.46534382393354))",15,Closed DC broadleaf,"(np.float64(37.73638988307949), np.float64(22.46534382393354))",0.16341479093848407
863f2998fffffff,N5,Corridors_2022_within_1.0km,21,Shrubland,"(np.float64(37.72407595104458), np.float64(22.497553416954364))",22,Grassland,"(np.float64(37.72407595104458), np.float64(22.499163896605406))",0.14198074022371143
863f2998fffffff,N5,Corridors_2022_within_1.0km,22,Grassland,"(np.float64(37.72407595104458), np.float64(22.499163896605406))",24,Shrubland,"(np.float64(37.72074006979098), np.float64(22.491648324900545))",0.7590226545374642
863f2998fffffff,N5,Corridors_2022_within_1.0km,21,Shrubland,"(np.float64(37.72407595104458), np.float64(22.497553416954364))",25,Shrubland,"(np.float64(37.71979284424983), np.float64(22.49030625852468))",0.7963835707299562
863f2998fffffff,N5,Corridors_2022_within_1.0km,23,Shrubland,"(np.float64(37.72380825686991), np.float64(22.498358656779885))",25,Shrubland,"(np.float64(37.71979284424983), np.float64(22.49030625852468))",0.8382247821967258
863f2998fffffff,N5,Corridors_2022_within_1.0km,2,Grassland,"(np.float64(37.75753772287857), np.float64(22.524394744471714))",5,Grassland,"(np.float64(37.75111306268644), np.float64(22.527615703773797))",0.7675014486935493
863f2998fffffff,N5,Corridors_2022_within_1.0km,12,Shrubland,"(np.float64(37.73799604812752), np.float64(22.462391277906633))",13,Shrubland,"(np.float64(37.73786220104018), np.float64(22.46534382393354))",0.26067320250380727
863f2998fffffff,N5,Corridors_2022_within_1.0km,3,Grassland,"(np.float64(37.7524515335598), np.float64(22.52707887722345))",4,Shrubland,"(np.float64(37.75218383938513), np.float64(22.52546839757241))",0.1450034994081058
863f2998fffffff,N5,Corridors_2022_within_1.0km,11,Closed EV needleleaf,"(np.float64(37.73929801524979), np.float64(22.463403927990242))",17,Shrubland,"(np.float64(37.73424832968211), np.float64(22.461586038081112))",0.5829284119502022
863f2998fffffff,N5,Corridors_2022_within_1.0km,12,Shrubland,"(np.float64(37.73799604812752), np.float64(22.462391277906633))",16,Shrubland,"(np.float64(37.73478371803146), np.float64(22.461586038081112))",0.3635377214302284
863f2998fffffff,N5,Corridors_2022_within_1.0km,20,Grassland,"(np.float64(37.72541442191794), np.float64(22.504666368746463))",23,Shrubland,"(np.float64(37.72380825686991), np.float64(22.498358656779885))",0.5839634469502661
